epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2300.48,2.9421,3.84335,1.95779,0.60038,0.23861,0.1795,0.11207,2.39302,3.26153,1.65309,0.00133233,0.00133233,0.00133233
43,2356.3,3.06618,3.94091,2.10172,0.58405,0.22786,0.17852,0.10494,2.5523,3.36352,1.68563,0.00132997,0.00132997,0.00132997
44,2410.57,2.92277,3.71226,1.95976,0.60993,0.21306,0.19554,0.12092,2.57875,3.43038,1.69586,0.00132761,0.00132761,0.00132761
45,2464.46,2.83223,3.63449,1.94035,0.58741,0.26714,0.18134,0.10314,2.41643,3.35734,1.68546,0.00132525,0.00132525,0.00132525
46,2519.77,3.04746,3.7742,2.00147,0.60079,0.21782,0.18488,0.11311,2.46632,3.55387,1.68064,0.0013229,0.0013229,0.0013229
47,2575.03,2.99305,3.73912,2.03969,0.57259,0.23861,0.16835,0.09983,2.46205,3.80236,1.67086,0.00132054,0.00132054,0.00132054
48,2630.01,3.00044,3.48928,1.96691,0.56366,0.24762,0.1742,0.10886,2.27377,3.94577,1.63007,0.00131818,0.00131818,0.00131818
49,2684.75,2.99575,3.67614,2.0115,0.24161,0.22033,0.17671,0.10313,2.42814,3.77308,1.65236,0.00131582,0.00131582,0.00131582
50,2738.97,2.93904,3.73412,1.98146,0.25028,0.22894,0.17437,0.1023,2.46609,3.4184,1.65895,0.00131347,0.00131347,0.00131347
51,2794.29,2.98282,3.60444,2.04542,0.24092,0.25066,0.16945,0.09986,2.40914,4.10949,1.65992,0.00131111,0.00131111,0.00131111
52,2849.52,3.00089,3.87032,2.02038,0.26918,0.21532,0.17239,0.10364,2.55747,3.54321,1.706,0.00130875,0.00130875,0.00130875
53,2904.34,2.95007,3.75839,2.01653,0.26394,0.24389,0.18025,0.10316,2.51089,3.52806,1.65881,0.00130639,0.00130639,0.00130639
54,2959.26,2.86179,3.55721,1.99082,0.57924,0.23739,0.17871,0.10769,2.52088,3.6922,1.67823,0.00130403,0.00130403,0.00130403
55,3013.83,2.87353,3.342,1.95677,0.56618,0.21905,0.18166,0.11603,2.2039,3.54751,1.58938,0.00130168,0.00130168,0.00130168
56,3069.06,2.78028,3.62861,1.96313,0.24433,0.23211,0.17872,0.11182,2.31192,3.53666,1.66584,0.00129932,0.00129932,0.00129932
57,3122.81,2.81672,3.66057,1.91869,0.57386,0.23571,0.18025,0.10177,2.36055,3.29429,1.67001,0.00129696,0.00129696,0.00129696
58,3177.76,2.93661,3.86817,2.01241,0.28245,0.23887,0.18921,0.1153,2.33832,3.41265,1.65517,0.0012946,0.0012946,0.0012946
59,3233.07,2.92014,3.5194,2.0094,0.61208,0.2594,0.19063,0.11763,2.38154,3.72242,1.6062,0.00129224,0.00129224,0.00129224
60,3287.25,2.81477,3.41108,1.92262,0.58339,0.21133,0.16655,0.1047,2.50031,3.85918,1.65587,0.00128989,0.00128989,0.00128989
61,3342.42,2.89311,3.57226,1.98439,0.25055,0.23436,0.17205,0.10017,2.4517,3.61307,1.66145,0.00128753,0.00128753,0.00128753
62,3396.27,2.92767,3.96648,1.94361,0.28034,0.21236,0.17444,0.10106,2.52595,3.29476,1.72091,0.00128517,0.00128517,0.00128517
63,3450.92,2.79927,3.56588,1.93578,0.59171,0.23713,0.18836,0.11774,2.39544,3.66004,1.68806,0.00128281,0.00128281,0.00128281
64,3504.71,2.83309,3.90295,1.94297,0.28485,0.23255,0.17768,0.10675,2.48009,3.25741,1.70642,0.00128046,0.00128046,0.00128046
65,3559.52,2.80389,3.60203,1.93894,0.30462,0.22986,0.19234,0.11757,2.41028,3.72419,1.67459,0.0012781,0.0012781,0.0012781
66,3614.38,2.83401,3.42345,1.94169,0.28398,0.23687,0.18095,0.10817,2.30495,3.40147,1.65137,0.00127574,0.00127574,0.00127574
67,3668.81,2.84493,3.42812,1.97233,0.26197,0.22786,0.16807,0.09866,2.39889,3.65786,1.67498,0.00127338,0.00127338,0.00127338
68,3723.41,2.86481,3.39972,1.98992,0.25845,0.25918,0.17247,0.09971,2.44861,3.56997,1.6689,0.00127102,0.00127102,0.00127102
69,3778.18,2.82461,3.32355,1.96444,0.60281,0.23861,0.18022,0.10697,2.49134,3.51156,1.65801,0.00126867,0.00126867,0.00126867
70,3833,2.88519,3.50675,1.95507,0.58942,0.24845,0.18244,0.1,2.40044,3.75971,1.67674,0.00126631,0.00126631,0.00126631
71,3887.62,2.8302,3.35507,1.95417,0.27292,0.26051,0.19047,0.11664,2.35475,3.48559,1.66222,0.00126395,0.00126395,0.00126395
72,3942.7,2.87892,3.38497,1.93483,0.59046,0.23211,0.16622,0.09714,2.58134,3.52455,1.67032,0.00126159,0.00126159,0.00126159
73,3997.3,2.85776,3.37645,1.93518,0.27957,0.23572,0.17605,0.10648,2.47709,3.87863,1.66661,0.00125923,0.00125923,0.00125923
74,4051.94,2.69783,3.43937,1.93654,0.28023,0.26744,0.2073,0.12423,2.4573,3.00807,1.64794,0.00125688,0.00125688,0.00125688
75,4107.29,2.84114,3.4123,1.9403,0.28283,0.26062,0.20137,0.11942,2.34871,3.26027,1.63399,0.00125452,0.00125452,0.00125452
