epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9801,3.35292,7.86538,2.36435,0.00149,0.01126,0.00069,0.00041,4.27174,3017.87,2.99244,0.00047474,0.00047474,0.00047474
2,73.306,4.05307,5.46394,2.6726,0.22557,0.16441,0.12615,0.05957,3.58596,9.27248,2.43353,0.000949504,0.000949504,0.000949504
3,109.376,4.45312,5.91526,2.92215,0.40893,0.05405,0.0467,0.02091,4.41551,43.3843,2.78193,0.0014227,0.0014227,0.0014227
4,142.889,4.33926,5.78583,2.83124,0.5293,0.12469,0.10395,0.04766,3.9122,6.59419,2.5627,0.00142193,0.00142193,0.00142193
5,175.979,4.34708,5.4848,2.76397,0.35488,0.13063,0.03646,0.00802,3.84613,17.286,2.38402,0.00141957,0.00141957,0.00141957
6,208.899,4.42336,5.68669,2.82775,0.50391,0.16441,0.12421,0.05208,3.81304,6.16141,2.41695,0.00141721,0.00141721,0.00141721
7,242.393,4.28154,5.66624,2.83211,0.70978,0.14137,0.14708,0.06897,3.67008,5.60896,2.38191,0.00141485,0.00141485,0.00141485
8,279.615,4.12751,5.18731,2.69614,0.72064,0.2027,0.21083,0.09564,3.66286,4.4226,2.3354,0.0014125,0.0014125,0.0014125
9,317.689,4.3114,5.2051,2.75445,0.59148,0.17793,0.14436,0.07119,3.67625,6.30581,2.40413,0.00141014,0.00141014,0.00141014
10,352.898,4.07453,4.82241,2.70136,0.67492,0.21396,0.20777,0.10635,3.31096,4.16367,2.22058,0.00140778,0.00140778,0.00140778
11,387.822,4.07656,4.95784,2.78022,0.60069,0.18018,0.15081,0.06963,3.41744,4.92474,2.20964,0.00140542,0.00140542,0.00140542
12,421.23,4.00337,4.91083,2.74715,0.5867,0.16935,0.16965,0.079,3.44084,4.10399,2.25196,0.00140306,0.00140306,0.00140306
13,454.469,3.88787,4.52808,2.65261,0.64619,0.25,0.2509,0.13454,3.38427,4.22538,2.2025,0.00140071,0.00140071,0.00140071
14,489.022,3.8082,4.29414,2.56892,0.63526,0.25674,0.25048,0.12612,3.30455,4.54141,2.17606,0.00139835,0.00139835,0.00139835
15,522.309,3.84593,4.60077,2.6751,0.6573,0.23795,0.21452,0.11599,3.13642,4.04719,2.12944,0.00139599,0.00139599,0.00139599
16,558.471,3.75014,4.36823,2.56147,0.66833,0.26126,0.2622,0.13286,3.14083,4.25136,2.12582,0.00139363,0.00139363,0.00139363
17,595.451,3.85193,4.14477,2.5776,0.6568,0.2973,0.26907,0.13683,3.22084,3.71553,2.14251,0.00139127,0.00139127,0.00139127
18,632.493,3.81696,4.45002,2.55101,0.59553,0.22011,0.2153,0.11729,3.24011,4.07453,2.1551,0.00138892,0.00138892,0.00138892
19,665.173,3.77986,4.45479,2.52174,0.61903,0.25642,0.22875,0.11957,3.16767,3.92723,2.09114,0.00138656,0.00138656,0.00138656
20,698.788,3.79399,4.22858,2.54477,0.31842,0.25743,0.25498,0.13443,3.08101,3.76867,2.1517,0.0013842,0.0013842,0.0013842
21,732.123,3.74132,4.31983,2.44001,0.67533,0.27027,0.23644,0.12033,3.24201,4.95518,2.23607,0.00138184,0.00138184,0.00138184
